단어,쾌-불쾌,활성화,r,g,b
가증스럽다,1.88,5.08,222,11,0
간담이 서늘한,2.79,5.21,165,172,0
간이 콩알만해지는,2.74,5.67,189,174,0
갈등하다,2.59,4.82,196,227,0
개탄하다,2.33,5.18,163,77,0
거부감,1.98,4.54,251,182,0
겁나다,2.61,5.56,182,142,0
격노하다,1.98,5.89,255,93,0
격렬한,3.65,6.15,196,187,0
격분하다,2.11,5.82,196,93,0
격정,3.57,5.6,230,199,0
격하다,2.7,5.41,175,159,0
경멸하다,1.74,5.59,223,62,0
경악하다,2.15,6.03,11,33,0
고단한,3.79,4.92,250,250,0
곤혹스럽다,2.26,5.28,169,63,0
골 때리는,3.3,5.59,226,185,0
골나다,2.25,5.25,167,63,0
공포,2.32,6.02,7,68,0
괘씸하다,2.11,5.1,159,28,0
굴욕,1.77,5.28,209,31,0
근심걱정,2.36,4.37,173,192,0
기겁하다,2.74,5.67,189,174,0
기고만장하다,3.5,5.52,225,193,0
기막히다,2.67,4.72,191,226,0
기절초풍하다,2.64,5.76,193,155,0
긴장하다,3.24,4.99,247,247,0
꼴보기 싫은,3.34,5.12,211,175,0
끔찍하다,2.13,5.45,177,56,0
나쁘다,3.6,5.35,228,194,0
남부끄럽다,2.66,4.39,174,209,0
낯간지럽다,3.36,4.55,225,225,0
낯뜨겁다,2.88,5.31,170,191,0
노발대발,2.1,6.37,80,25,0
노심초사하다,2.39,4.99,205,226,0
노엽다,2.48,5.32,171,112,0
노파심,3.05,4.4,214,214,0
노하다,2.16,5.76,193,89,0
당혹하다,2.94,4.9,200,250,0
당황하다,3.07,4.83,236,236,0
더러운,1.77,5.72,231,75,0
동요하다,3.42,4.42,219,219,0
두렵다,2.43,5.32,171,101,0
뜨끔하다,2.92,4.76,193,241,0
머리칼이 곤두서는,3.49,5.63,231,196,0
메스꺼운,1.99,5.35,250,37,0
모멸,1.34,5.62,204,66,0
못마땅한,3.13,4.89,239,239,0
무섭다,2.58,5.39,174,134,0
무시무시하다,2.54,5.16,163,120,0
뭔가 아닌 것 같은,3.48,5.17,219,184,0
미어지는,3.42,4.71,234,234,0
미칠 것 같은,2.1,5.22,165,31,0
민망하다,2.85,4.39,174,222,0
