단어,쾌-불쾌,활성화,r,g,b
간절한,4.74,4.45,236,197,0
감개무량하다,4.97,4.83,253,222,0
감격하다,5.43,5.19,175,22,46
감동하다,5.45,4.47,190,178,49
감복하다,4.63,4.59,232,200,0
감사한,5.04,4.8,196,195,7
감탄하다,5.11,5.03,159,6,14
강렬한,5.49,5.32,184,35,53
격동되다,4.11,5.92,241,100,0
경쾌하다,5.85,5.28,191,31,89
경탄하다,3.99,5.35,248,214,0
계면쩍은,4.62,4.55,231,198,0
고요한,6.14,4.88,199,199,31
고전적인,5.29,4.75,201,193,32
괜찮은,5.41,4.33,182,171,45
교감하다,5.43,4.41,187,175,46
구역질나는,3.92,5.3,244,209,0
궁금하다,5.01,5.32,171,35,3
귀엽다,6.1,4.95,203,203,23
기가 막힌,5.14,5.71,195,75,16
기대하는,5.63,5.11,176,14,66
기분 나쁜,3.97,4.75,252,252,0
기분 좋은,5.88,4.77,216,193,92
기쁘다,5.94,5.56,207,59,99
끝내주는,5.75,5.31,189,33,79
날아갈듯한,5.92,5.36,197,39,97
놀라다,4.12,5.67,229,75,0
놀랍다,4.35,5.61,228,74,0
느긋한,6.23,4.72,191,191,52
다정한,5.63,5.28,185,31,66
다행스럽다,6.04,5.04,156,7,13
달콤하다,6.12,5.75,193,79,29
당당한,5.95,6.55,140,0,100
도취하다,5.1,4.94,205,202,12
두근두근하는,5.95,5.76,218,79,100
든든한,5.49,5.32,184,35,53
들뜨다,4.98,5.24,246,110,0
따사로운,5.95,4.94,227,202,100
매료되다,5.25,4.69,197,190,28
매혹,4.84,4.59,243,206,0
명랑한,6.08,6.09,21,0,21
목이 메이는,4.24,4.82,238,203,0
몸 둘 바를 모르는,4.2,5.38,214,46,0
묘한,4.03,4.55,221,183,0
바라는,4.98,5.13,244,106,0
박진감,4.94,5.41,246,110,0
반갑다,5.91,5.29,193,32,96
반하다,4.94,4.63,249,211,0
밝은,5.55,5.24,181,27,58
벅찬,5.05,5.41,177,45,7
보고 싶다,5.1,5.32,174,35,12
보람차다,5.69,4.66,206,188,73
부럽다,4.0,4.37,212,174,0
뿌듯하다,5.75,4.63,206,186,79
사랑스럽다,6.09,4.52,180,180,21
사모하다,5.11,4.38,177,173,14
산뜻한,5.61,4.9,217,200,65
살맛나다,5.75,5.16,182,19,79
상쾌하다,5.99,5.16,188,19,104
상큼하다,5.61,4.32,187,171,65
생생한,5.11,5.11,163,14,14
선호하다,4.83,4.38,240,195,0
설레다,5.21,5.26,173,28,23
성취감,5.84,5.5,202,54,88
소망하는,4.98,5.13,244,106,0
손에 땀을 쥐는 듯한,4.6,5.12,225,67,0
수줍은,3.98,4.84,254,254,0
순수한,5.94,4.79,219,195,99
승리한,5.46,6.2,61,0,50
신기하다,5.14,5.71,195,75,16
신나다,5.96,5.89,224,93,101
신명나다,5.61,5.36,189,39,65
신바람나다,5.72,5.7,209,74,75
싱그러운,5.61,5.94,219,99,65
싱싱한,5.24,6.58,130,0,27
애정,5.33,4.32,180,171,36
애지중지하다,4.82,4.44,240,198,0
애착,4.21,4.54,223,188,0
야생마 같은,5.53,6.02,58,0,57
어리둥절한,4.21,5.09,204,26,0
얼떨떨하다,4.67,5.05,228,73,0
엄청난,4.85,5.15,238,93,0
열광하다,5.52,6.66,153,0,55
열렬한,5.49,5.72,204,75,53
열망하는,5.23,5.38,180,40,26
열애,5.07,5.73,194,77,10
열정,5.51,5.74,206,78,54
영광스럽다,5.99,5.2,190,23,104
영예롭다,5.26,4.62,193,186,28
예쁘다,5.74,5.97,223,101,78
용감하다,5.49,6.0,54,0,53
유쾌하다,5.58,5.37,189,40,62
의기양양하다,4.92,5.24,243,103,0
이뻐하다,5.42,4.29,180,169,45
자긍,5.37,4.48,189,179,40
자랑스럽다*,5.72,4.98,223,204,75
자신만만하다,5.28,5.32,178,35,31
자유로운,5.72,5.75,211,79,75
재미있다,5.72,4.79,213,195,75
전율을 느끼는,6.03,6.38,80,0,11
정신이 번쩍 드는,4.91,5.23,242,102,0
좋다,5.54,5.13,175,15,58
즐겁다,5.89,5.54,205,58,93
즐기다,5.57,5.14,176,16,61
짜릿한,4.03,5.38,212,42,0
짝사랑하다,4.28,4.41,217,183,0
찝찝한,3.92,5.08,241,204,0
찡하다,4.09,4.67,228,191,0
찹찹한,3.85,4.8,246,246,0
충만한,5.14,4.76,197,193,16
친숙한,5.57,4.67,204,189,61
쾌감,5.79,5.91,222,96,83
쾌적한,5.88,4.84,220,197,92
통쾌하다,5.79,5.71,211,75,83
팔팔한,4.31,5.97,246,109,0
패기만만한,5.3,5.13,168,15,32
푸근한,5.95,394.0,101,0,100
피가 끓는,4.18,5.46,219,55,0
행복하다,6.16,4.7,190,190,37
호감,5.72,5.03,175,6,75
호기심,5.0,5.0,155,3,3
화사한,6.08,5.09,158,11,21
환상적인,5.63,5.21,181,23,66
환희,5.72,5.54,201,58,75
활기찬,5.67,5.3,187,32,71
활발한,5.48,5.45,190,49,52
황공하다,4.25,4.57,225,190,0
황량한,3.87,4.69,246,246,0
황향한,4.13,4.72,231,194,0
황홀하다,5.72,5.14,180,16,75
