단어,쾌-불쾌,활성화,r,g,b
가뜬하다,4.51,3.8,201,54,83
가벼운,5.33,2.85,36,0,207
가뿐한,5.25,2.61,28,0,192
감개,4.96,4.24,245,192,0
감명,5.28,4.01,162,154,31
감미롭다,5.54,3.93,112,0,112
감홍,4.59,4.21,225,180,0
감회,4.67,3.98,214,71,103
경애하다,4.9,4.06,239,180,0
경외하다,4.34,3.83,193,36,88
고맙다,5.5,3.77,95,0,95
고무되다,4.73,4.16,232,182,0
공감하다,5.07,3.74,81,0,81
그립다,4.37,3.18,178,40,21
긍지,5.74,3.85,109,0,109
낙,5.39,4.08,169,158,41
달가워하다,4.63,3.99,212,66,104
동감하다,5.33,4.19,173,164,36
동경하다,4.81,3.73,214,84,77
동병상련,3.85,3.74,217,198,78
떳떳하다,5.4,4.15,173,162,44
만족하다,5.64,3.98,120,0,120
맘놓다,4.98,2.28,204,103,168
무기력한,3.87,2.8,199,199,195
뭉클하다,4.48,4.15,219,175,0
속시원하다,5.43,4.15,173,162,46
순정,5.01,3.28,31,0,31
시원섭섭하다,3.89,3.61,216,200,64
아련하다,4.03,3.11,159,6,13
안도하다,4.78,2.01,194,82,154
안락하다,5.41,1.9,45,47,105
안심,5.0,2.39,3,0,175
안정되다,5.11,2.31,14,0,174
애,4.63,3.99,212,66,104
애매한,3.85,3.11,201,198,13
애수,3.93,3.69,220,202,73
애틋하다,4.41,4.16,216,174,0
야릇한,4.03,3.55,170,6,58
연모하다,4.45,4.07,217,170,0
연민,3.86,3.34,207,198,36
연정,4.92,3.63,218,97,66
온정,5.11,3.09,16,0,16
우수,4.28,3.38,179,31,40
자부하다,5.02,4.02,156,155,4
자족하다,5.11,3.89,97,0,97
정감,5.56,3.44,70,0,70
정겹다*,5.56,4.02,169,155,59
정답다,5.32,3.97,111,0,111
충족감,5.27,4.15,169,162,29
친애하다,4.96,4.04,242,181,0
태평스럽다,4.55,2.45,182,58,177
편안하다,5.4,2.33,44,0,182
편하다,5.54,2.7,58,0,204
평안하다,5.63,2.06,66,0,174
평온하다,5.46,2.46,50,0,190
평화롭다,5.62,2.24,66,0,183
포근한,5.92,3.68,115,0,115
향수,4.99,2.56,205,104,183
홀가분하다,6.24,3.26,28,0,61
황송하다,4.07,4.18,202,165,0
후련하다,5.33,3.61,73,0,73
흐뭇하다,5.48,3.85,102,0,102
흡족하다,5.77,4.14,181,161,80
